D0010			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    thuan			    nam		     12			1000
D002			    test2			    nu		     24			2000
D00331			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D0012    		    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2333			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test233			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test22321 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2323			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
D001			    test1 			    nam		     12			1000
D002			    test2			    nu		     24			2000
